Generation,Average Fitness,Best Fitness,Worst Fitness
920,375.65,492.50,-536.20
921,374.47,498.70,-590.65
922,360.01,491.35,-765.50
923,371.39,493.55,-845.60
924,368.40,494.80,-846.00
925,367.56,493.50,-782.00
926,385.14,496.10,-843.20
927,368.38,496.00,-467.50
928,380.29,491.70,-859.15
929,364.29,494.00,-832.70
930,373.83,498.40,-780.00
931,350.15,492.10,-859.45
932,361.48,493.60,-876.85
933,374.71,493.85,-678.75
934,372.67,493.45,-852.90
935,383.41,494.00,-817.05
936,348.59,490.80,-832.45
937,376.02,492.90,-290.55
938,368.45,492.90,-753.70
939,348.11,493.85,-728.45
940,361.57,497.10,-775.50
941,391.19,500.40,-274.05
942,371.81,492.30,-826.05
943,342.23,493.40,-917.55
944,366.30,496.90,-535.00
945,370.72,492.90,-760.75
946,363.14,490.35,-627.35
947,351.35,495.80,-756.05
948,362.85,497.50,-774.80
949,345.20,490.25,-912.80
950,357.20,491.10,-817.50
951,360.17,494.40,-791.35
952,351.23,498.05,-566.65
953,333.77,489.85,-621.20
954,366.57,492.35,-457.25
955,369.41,489.00,-826.45
956,342.09,492.70,-813.15
957,364.78,494.00,-482.95
958,388.19,493.00,-825.75
959,356.02,490.90,-801.00
960,369.72,495.30,-827.45
961,340.24,493.00,-801.35
962,348.45,490.35,-810.75
963,377.21,495.90,-573.10
964,384.71,493.60,-523.10
965,395.10,490.30,-812.75
966,378.02,493.20,-544.85
967,370.75,492.90,-689.78
968,362.92,493.85,-703.90
969,352.31,490.90,-822.95
970,360.57,494.00,-829.35
971,366.48,492.50,-569.75
972,374.47,497.10,-871.80
973,364.51,493.90,-481.05
974,364.12,493.60,-561.95
975,365.54,490.40,-920.65
976,363.20,493.40,-854.00
977,342.22,496.70,-822.55
978,359.19,491.10,-802.30
979,375.60,493.60,-463.30
980,363.53,496.40,-781.50
981,380.23,495.20,-512.60
982,360.86,489.90,-835.80
983,351.79,494.50,-790.85
984,372.67,495.80,-710.35
985,351.08,490.80,-704.90
986,347.75,490.70,-842.45
987,359.47,497.30,-698.20
988,355.63,493.90,-819.90
989,382.45,494.20,-384.45
990,376.46,494.80,-823.25
991,380.66,497.00,-826.25
992,353.69,493.20,-849.65
993,376.49,491.70,-825.50
994,397.85,492.55,-741.85
995,355.10,499.40,-657.25
996,382.06,491.70,-402.50
997,372.82,497.30,-532.53
998,382.61,492.90,-776.40
999,376.40,493.50,-818.90
1000,386.28,493.20,-793.45
1001,357.55,493.10,-830.05
1002,379.67,492.80,-591.45
1003,356.19,490.80,-832.45
1004,383.98,491.55,-523.45
1005,380.80,491.20,-718.35
1006,370.06,493.30,-848.45
1007,395.60,495.20,-541.90
1008,359.08,493.40,-844.25
1009,353.72,492.10,-505.55
1010,366.72,498.80,-813.00
1011,355.23,492.80,-665.90
1012,373.78,494.90,-736.85
1013,348.76,491.60,-735.70
1014,369.58,492.60,-876.75
1015,369.41,493.70,-786.10
1016,360.94,491.80,-751.30
1017,381.18,495.70,-841.35
1018,379.37,494.60,-724.80
1019,373.62,493.30,-783.93
1020,363.42,493.70,-592.65
1021,346.60,490.70,-897.25
1022,354.79,492.60,-695.50
1023,381.23,493.20,-858.40
1024,388.93,491.30,-473.05
1025,377.05,494.50,-826.00
1026,361.43,491.90,-720.95
1027,353.72,496.10,-745.50
1028,363.24,492.25,-818.95
1029,345.87,493.30,-664.50
1030,366.71,495.90,-842.95
1031,367.98,494.90,-860.45
1032,345.75,499.50,-815.73
1033,367.87,495.40,-844.55
1034,362.92,494.50,-832.90
1035,369.32,495.40,-607.50
1036,356.43,493.30,-851.05
1037,351.76,493.70,-863.25
1038,352.97,496.30,-786.85
1039,362.53,496.85,-744.45
1040,335.44,492.90,-797.80
1041,373.99,490.90,-823.75
1042,371.31,492.90,-816.40
1043,356.47,489.90,-420.55
1044,345.25,489.40,-783.35
1045,380.70,495.10,-589.05
1046,333.57,497.00,-845.39
1047,388.26,491.00,-507.45
1048,382.65,496.65,-539.75
1049,365.51,492.90,-895.70
1050,346.36,493.65,-814.20
1051,344.96,492.50,-832.00
1052,356.31,498.10,-817.50
1053,352.80,494.45,-529.35
1054,364.93,488.75,-700.31
1055,385.73,490.50,-721.20
1056,389.11,493.90,-805.85
1057,358.58,492.90,-558.80
1058,392.39,493.70,-505.20
1059,357.94,496.25,-879.05
1060,363.42,490.50,-708.55
1061,364.39,491.10,-759.90
1062,338.79,492.85,-830.10
1063,348.30,494.60,-789.50
1064,370.68,491.65,-771.40
1065,385.43,493.00,-604.75
1066,388.14,491.20,-546.45
1067,350.69,500.00,-540.35
1068,362.92,490.70,-827.15
1069,354.72,492.55,-811.55
1070,352.15,493.60,-880.85
1071,365.52,493.75,-781.65
1072,373.07,490.95,-758.60
1073,350.48,498.90,-880.95
1074,368.51,497.20,-810.45
1075,378.27,494.35,-522.15
1076,380.60,493.40,-760.20
1077,367.63,492.50,-564.90
1078,350.28,491.60,-863.45
1079,360.03,496.90,-826.55
1080,382.84,492.50,-499.65
1081,359.55,496.50,-826.60
1082,377.76,496.35,-489.45
1083,359.20,496.10,-481.95
1084,388.52,494.75,-885.05
1085,374.39,492.90,-776.05
1086,365.65,490.90,-820.60
1087,384.01,490.75,-696.95
1088,368.22,495.20,-879.50
1089,367.24,497.00,-596.35
1090,353.82,494.90,-805.90
1091,380.88,494.00,-389.66
1092,350.93,494.90,-479.60
1093,355.89,489.85,-870.50
1094,378.13,491.25,-795.70
1095,363.06,490.15,-757.75
1096,364.28,496.75,-790.15
1097,377.03,499.70,-694.20
1098,360.78,497.40,-558.58
1099,364.03,491.00,-537.10
1100,391.11,492.35,-228.30
1101,385.39,489.25,-460.70
1102,354.25,496.55,-768.30
1103,359.53,491.15,-814.85
1104,348.74,497.65,-744.45
1105,385.61,489.90,-895.55
1106,363.95,490.45,-546.25
1107,374.22,496.20,-878.60
1108,377.70,490.55,-519.60
1109,378.78,490.60,-761.10
1110,378.94,491.40,-752.25
1111,390.66,498.95,-764.10
1112,369.55,495.00,-543.35
1113,384.19,492.00,-861.10
1114,377.80,493.10,-735.60
1115,352.71,496.90,-669.40
1116,370.34,490.80,-807.30
1117,350.78,497.20,-827.55
1118,377.62,494.00,-834.25
1119,362.60,496.80,-569.51
1120,374.15,496.20,-493.90
1121,367.29,492.50,-685.20
1122,386.16,490.60,-508.60
1123,373.56,493.60,-754.45
1124,390.19,495.50,-534.80
1125,368.84,497.80,-574.50
1126,387.94,494.60,-789.20
1127,387.81,492.65,-759.10
1128,373.01,496.30,-632.30
1129,396.82,494.60,-586.45
1130,355.35,496.70,-784.10
1131,376.46,491.05,-899.55
1132,356.15,490.60,-802.55
1133,368.66,492.30,-730.45
1134,385.20,493.70,-874.35
1135,359.59,491.80,-578.15
1136,368.07,498.25,-443.30
1137,381.99,492.85,-494.85
1138,392.04,491.10,-682.55
1139,358.40,496.85,-752.05
1140,361.54,494.55,-805.30
1141,385.15,491.40,-446.85
1142,351.94,493.70,-801.95
1143,360.38,494.40,-789.70
1144,368.87,490.80,-647.75
1145,370.67,496.90,-467.15
1146,360.07,494.60,-771.90
1147,340.88,492.20,-707.45
1148,372.67,493.95,-834.33
1149,372.18,490.70,-698.70
1150,364.76,493.60,-808.65
1151,379.76,493.90,-475.95
1152,376.58,497.15,-605.10
1153,381.29,494.65,-860.35
1154,379.19,496.25,-412.55
1155,357.31,493.60,-460.65
1156,342.15,495.50,-594.30
1157,366.27,489.30,-443.90
1158,362.20,493.25,-773.35
1159,367.01,488.60,-610.10
1160,364.18,492.80,-775.20
1161,384.31,496.60,-867.34
1162,388.42,491.85,-740.12
1163,376.52,493.75,-301.70
1164,349.74,492.35,-889.75
1165,390.99,493.60,-330.00
1166,368.82,497.65,-792.80
1167,343.16,492.15,-891.58
1168,370.37,494.05,-538.50
1169,365.21,490.15,-674.70
1170,362.93,494.50,-423.82
1171,382.55,494.00,-455.30
1172,368.18,493.85,-806.15
1173,377.96,489.75,-603.95
1174,359.24,492.50,-811.00
1175,368.03,490.30,-760.10
1176,374.26,493.65,-677.13
1177,350.66,494.30,-432.30
1178,382.67,496.15,-438.40
1179,346.29,490.40,-693.40
1180,355.03,492.25,-734.70
1181,386.15,492.30,-435.55
1182,337.02,495.00,-818.75
1183,384.53,494.50,-591.70
1184,380.27,492.85,-524.05
1185,374.81,491.30,-525.55
1186,355.73,495.45,-593.40
1187,362.94,497.40,-588.35
1188,358.79,492.30,-756.10
1189,341.52,498.70,-791.40
1190,349.21,491.75,-761.10
1191,383.76,492.20,-835.25
1192,378.54,492.90,-841.40
1193,363.69,492.15,-694.85
1194,369.15,489.85,-574.10
1195,369.06,493.80,-713.55
1196,364.77,492.10,-532.40
1197,389.03,491.30,-778.75
1198,399.18,492.90,-464.00
1199,381.32,493.70,-428.50
1200,379.78,494.65,-535.35
1201,387.15,493.65,-577.44
1202,391.96,490.00,-701.40
1203,363.00,492.00,-666.52
1204,365.30,490.20,-537.45
1205,373.23,496.80,-757.70
1206,370.08,493.35,-327.60
1207,381.81,497.50,-576.00
1208,381.61,493.80,-510.50
1209,377.68,490.05,-636.50
1210,379.84,493.90,-700.85
1211,399.83,493.00,-155.05
1212,354.77,494.65,-664.20
1213,353.53,492.70,-563.90
1214,398.08,494.10,-780.45
1215,380.54,495.45,-886.85
1216,356.19,491.80,-811.80
1217,386.23,494.30,-804.35
1218,349.57,495.90,-682.35
1219,369.21,491.95,-566.65
1220,374.49,494.40,-714.50
1221,388.58,493.75,-541.55
1222,355.00,496.70,-847.80
1223,391.31,496.95,-653.90
1224,383.66,494.65,-485.95
1225,360.96,494.50,-579.79
1226,374.34,497.75,-571.85
1227,349.34,495.80,-583.20
1228,363.58,495.40,-776.60
1229,369.08,493.35,-799.85
1230,360.12,494.40,-720.55
1231,384.83,500.95,-840.45
1232,362.73,492.25,-878.01
1233,368.28,494.05,-560.40
1234,345.62,491.00,-762.00
1235,367.83,491.55,-573.50
1236,381.76,491.90,-838.70
1237,355.40,494.20,-812.70
1238,377.84,495.05,-763.75
1239,371.31,494.70,-800.05
1240,370.84,493.10,-846.05
1241,378.67,493.10,-869.15
1242,354.13,493.35,-568.75
1243,379.77,494.15,-578.25
1244,363.62,494.60,-772.40
1245,363.14,492.00,-610.85
1246,376.35,489.95,-824.25
1247,375.41,492.05,-553.60
1248,362.67,495.60,-837.45
1249,381.73,491.75,-821.80
1250,364.64,494.35,-807.05
1251,372.46,490.25,-332.25
1252,380.68,490.80,-447.80
1253,368.72,493.30,-471.30
1254,384.96,497.60,-897.45
1255,384.37,492.40,-823.55
1256,366.58,495.95,-802.05
1257,346.76,495.00,-850.60
1258,387.93,492.35,-461.90
1259,361.24,492.95,-877.15
1260,386.90,493.80,-791.80
1261,349.79,497.70,-881.05
1262,363.29,491.50,-629.85
1263,390.55,491.40,-360.15
1264,374.12,498.15,-524.70
1265,384.83,490.15,-231.90
1266,370.52,495.20,-685.95
1267,378.23,492.70,-807.97
1268,377.86,493.85,-832.35
1269,364.39,495.25,-838.00
1270,370.41,497.00,-775.85
1271,349.29,494.30,-920.75
1272,354.38,491.75,-503.60
1273,367.82,494.20,-764.30
1274,363.39,491.05,-708.30
1275,350.01,493.55,-677.25
1276,359.90,493.25,-816.80
1277,370.31,501.65,-628.50
1278,384.83,492.95,-737.30
1279,359.95,492.15,-557.35
1280,363.81,494.90,-773.70
1281,388.48,493.55,-821.25
1282,360.57,494.65,-841.40
1283,362.76,489.80,-835.50
1284,391.33,493.55,-882.50
1285,365.66,492.05,-570.20
1286,360.81,494.15,-868.15
1287,348.38,501.00,-589.00
1288,378.51,492.75,-550.95
1289,344.02,494.15,-621.85
1290,376.63,490.45,-901.70
1291,402.11,494.45,-805.85
1292,344.00,489.10,-865.75
1293,354.50,489.40,-663.90
1294,356.85,499.00,-830.95
1295,355.42,495.55,-791.55
1296,378.80,492.35,-569.90
1297,371.72,494.00,-882.40
1298,375.66,492.20,-400.10
1299,366.75,494.75,-863.75
1300,367.56,494.10,-470.90
1301,374.30,494.55,-575.75
1302,373.54,492.50,-846.90
1303,367.78,493.40,-615.75
1304,355.93,496.90,-583.30
1305,361.82,489.95,-829.80
1306,351.51,491.70,-598.35
1307,367.58,491.70,-513.10
1308,374.68,492.00,-416.60
1309,382.38,491.95,-812.15
1310,389.89,494.25,-812.40
1311,373.79,490.75,-617.05
1312,362.69,492.20,-792.70
1313,375.86,494.00,-452.10
1314,380.03,492.20,-809.65
1315,353.53,491.20,-857.30
1316,360.00,490.05,-541.40
1317,372.51,490.35,-559.30
1318,385.76,494.05,-536.45
1319,368.20,494.90,-832.25
1320,357.79,492.15,-828.35
1321,370.47,492.75,-827.45
1322,340.91,494.05,-728.95
1323,374.45,491.95,-838.20
1324,347.45,495.90,-541.30
1325,348.03,495.10,-758.15
1326,369.84,494.45,-592.05
1327,362.32,492.70,-872.30
1328,373.14,496.35,-894.00
1329,356.98,491.10,-625.70
1330,389.24,493.45,-827.55
1331,356.41,494.55,-769.47
1332,365.17,493.05,-595.20
1333,380.72,492.65,-681.55
1334,366.11,492.70,-691.90
1335,370.84,490.30,-626.95
1336,387.61,492.65,-723.00
1337,366.58,488.90,-563.55
1338,349.33,492.20,-569.05
1339,380.24,494.15,-592.95
1340,349.96,496.65,-819.00
1341,353.09,495.40,-901.85
1342,399.44,494.30,-519.30
1343,366.23,493.25,-555.50
1344,377.56,492.05,-836.95
1345,385.52,489.70,-852.80
1346,346.72,494.75,-740.70
1347,379.48,493.65,-848.15
1348,361.27,490.65,-780.86
1349,364.55,493.30,-826.35
1350,360.09,492.35,-769.90
1351,358.45,489.25,-778.60
1352,339.06,497.15,-885.25
1353,350.69,494.05,-768.25
1354,363.13,497.25,-592.85
1355,367.19,490.75,-574.50
1356,372.87,488.75,-834.25
1357,398.40,490.30,-490.75
1358,394.13,493.65,-571.95
1359,384.14,491.50,-583.85
1360,372.06,491.25,-896.65
1361,380.01,491.60,-788.25
1362,369.46,495.95,-533.20
1363,361.60,490.50,-612.95
1364,385.94,495.10,-482.40
1365,342.72,490.40,-598.75
1366,359.13,491.80,-856.65
1367,388.85,489.50,-86.31
1368,355.31,492.25,-721.70
1369,376.47,494.25,-371.80
1370,368.06,492.25,-789.65
1371,387.76,496.40,-759.45
1372,369.65,495.70,-573.50
1373,376.54,492.30,-611.90
1374,406.91,490.55,-366.75
1375,357.19,499.70,-834.40
1376,386.74,494.10,-532.90
1377,361.22,492.95,-867.35
1378,353.02,491.70,-912.45
1379,364.11,492.00,-839.80
1380,384.60,493.30,-822.60
1381,367.81,489.85,-853.50
1382,391.93,495.45,-599.05
1383,360.68,502.80,-756.20
1384,389.16,496.85,-616.70
1385,371.00,491.95,-565.45
1386,382.29,489.60,-611.88
1387,355.33,491.95,-864.95
1388,369.60,493.40,-871.00
1389,337.09,490.00,-846.10
1390,390.88,495.30,-785.75
1391,386.24,490.50,-549.60
1392,390.19,489.90,-519.15
1393,366.69,495.15,-851.65
1394,357.71,491.55,-806.20
1395,383.26,491.90,-317.90
1396,381.94,499.00,-505.95
1397,371.09,492.85,-876.40
1398,364.93,493.70,-839.25
1399,359.36,494.80,-452.70
1400,352.13,494.15,-776.40
1401,361.82,489.85,-477.20
1402,373.93,493.75,-758.25
1403,379.81,489.80,-628.90
1404,350.01,490.95,-850.95
1405,389.10,494.30,-364.00
1406,370.37,490.15,-822.75
1407,376.99,494.15,-784.10
1408,362.77,493.65,-836.70
1409,376.38,498.65,-580.25
1410,373.29,492.70,-519.35
1411,403.22,495.30,-403.20
1412,370.49,494.30,-613.50
1413,364.79,493.00,-809.45
1414,361.10,491.65,-796.45
1415,346.96,492.00,-872.55
1416,387.64,490.15,-508.40
1417,329.32,494.80,-804.75
1418,349.87,491.05,-533.20
1419,386.89,496.65,-554.05
1420,367.50,498.80,-698.80
1421,373.63,494.10,-865.20
1422,335.64,490.05,-832.85
1423,349.00,495.65,-824.25
1424,373.71,496.45,-627.90
1425,341.37,492.10,-885.05
1426,362.39,493.75,-843.50
1427,357.92,490.85,-864.36
1428,360.74,496.60,-447.65
1429,380.19,492.85,-746.35
1430,366.73,492.35,-615.45
1431,350.69,491.80,-455.95
1432,390.09,493.85,-650.25
1433,378.03,496.80,-714.50
1434,361.59,489.85,-550.25
1435,371.99,491.90,-831.10
1436,378.16,494.85,-601.10
1437,371.85,498.80,-800.95
1438,363.07,495.65,-558.20
1439,378.41,491.05,-780.65
1440,361.58,498.40,-824.30
1441,374.55,492.25,-554.45
1442,342.25,496.15,-778.45
1443,348.47,492.45,-793.50
1444,356.72,494.15,-474.45
1445,379.16,494.10,-766.80
1446,361.36,496.25,-344.40
1447,379.00,491.00,-807.90
1448,371.17,493.90,-843.40
1449,372.11,496.25,-412.75
1450,360.28,492.65,-804.40
1451,344.08,492.60,-615.65
1452,363.54,491.80,-758.70
1453,371.00,494.95,-637.72
1454,384.44,489.70,-506.00
1455,385.87,493.85,-447.00
1456,331.15,495.45,-808.45
1457,367.66,495.15,-593.55
1458,360.28,498.55,-666.50
1459,379.48,493.80,-570.20
1460,337.91,491.50,-887.90
1461,335.84,489.50,-828.45
1462,374.18,492.55,-378.05
1463,374.81,492.50,-558.15
1464,373.82,494.90,-590.38
1465,365.75,489.60,-726.95
1466,371.17,489.30,-503.20
1467,380.80,494.50,-468.75
1468,396.62,489.90,-222.75
1469,362.43,495.40,-843.65
1470,380.84,494.20,-584.15
1471,379.83,493.50,-787.70
1472,377.49,490.75,-599.02
1473,375.43,490.70,-763.85
1474,364.27,493.20,-804.00
1475,388.12,493.60,-456.95
1476,354.31,491.45,-723.78
1477,362.00,496.45,-765.10
1478,356.41,495.45,-832.85
1479,388.80,494.20,-338.45
1480,350.14,489.90,-730.65
1481,350.66,494.95,-763.45
1482,372.56,490.55,-728.40
1483,394.17,494.55,-805.30
1484,382.21,492.60,-513.50
1485,355.49,495.70,-548.95
1486,369.68,491.75,-843.65
1487,344.98,492.40,-693.25
1488,351.27,500.95,-871.05
1489,346.42,492.30,-753.70
1490,361.31,493.75,-854.20
1491,374.57,492.70,-768.15
1492,372.49,492.55,-552.83
1493,379.70,495.15,-661.05
1494,367.34,492.55,-826.40
1495,364.92,496.05,-859.35
1496,402.03,495.65,-572.50
1497,377.55,493.55,-508.50
1498,388.95,489.75,-483.76
1499,365.04,493.70,-838.40
1500,391.49,496.25,-534.30
1501,377.44,493.85,-491.25
1502,380.89,496.05,-188.65
1503,388.73,492.65,-864.50
1504,378.57,492.60,-862.30
1505,387.31,489.80,-515.01
1506,389.06,494.15,-788.35
1507,384.92,490.05,-203.20
1508,356.55,492.45,-581.15
1509,385.97,494.70,-541.65
1510,376.73,492.00,-575.00
1511,366.60,489.85,-836.75
1512,362.44,497.10,-473.45
1513,374.11,493.05,-816.25
1514,356.32,492.85,-787.85
1515,380.04,490.60,-241.40
1516,363.14,492.45,-532.25
1517,385.46,490.85,-565.75
1518,376.18,493.55,-708.07
1519,379.77,491.95,-834.65
1520,375.58,494.85,-823.45
1521,372.27,491.35,-458.55
1522,366.78,490.65,-650.85
1523,388.62,493.25,-518.95
1524,384.80,494.55,-462.80
1525,349.55,491.95,-842.15
1526,361.13,498.45,-867.35
1527,362.12,493.85,-813.85
1528,387.76,490.45,-277.95
1529,383.92,498.25,-882.75
1530,361.85,489.90,-687.80
1531,346.95,496.20,-557.66
1532,366.89,492.70,-627.00
1533,371.59,494.30,-795.35
1534,384.82,490.05,-265.60
1535,376.42,494.05,-488.80
1536,338.38,492.35,-842.95
1537,378.47,494.25,-682.05
1538,368.29,495.80,-507.05
1539,368.06,493.45,-872.45
1540,386.96,493.95,-594.25
1541,373.02,493.20,-762.70
1542,337.46,490.20,-883.70
1543,376.36,494.80,-510.30
1544,367.38,496.40,-775.50
1545,362.86,495.05,-857.10
1546,376.88,492.90,-896.65
1547,352.01,492.55,-635.55
1548,370.42,495.35,-750.10
1549,370.39,491.95,-623.75
1550,375.30,492.90,-574.70
1551,392.39,492.70,-584.64
1552,345.02,490.15,-530.35
1553,352.34,494.10,-872.40
1554,359.83,492.55,-845.10
1555,363.36,490.45,-511.05
1556,377.69,494.60,-702.15
1557,382.26,495.85,-621.55
1558,349.88,493.65,-860.45
1559,391.35,495.60,-870.65
1560,354.14,492.00,-826.40
1561,367.59,492.20,-814.80
1562,373.89,491.10,-809.20
1563,390.81,490.40,-435.50
1564,380.14,490.95,-357.20
1565,377.49,492.55,-895.85
1566,348.20,496.00,-637.49
1567,376.26,493.65,-501.15
1568,380.01,493.65,-874.25
1569,368.20,498.05,-761.20
1570,359.61,496.40,-895.55
1571,363.27,490.50,-868.80
1572,374.43,494.20,-584.45
1573,368.83,497.15,-779.85
1574,364.85,491.65,-844.90
1575,363.65,493.10,-806.70
1576,388.72,495.55,-317.65
1577,372.19,491.20,-464.45
1578,348.51,491.40,-795.90
1579,377.18,493.40,-854.75
1580,402.51,495.25,-238.30
1581,357.12,490.60,-815.15
1582,385.51,493.90,-295.55
1583,382.84,496.40,-809.95
1584,383.34,492.55,-481.35
1585,396.38,490.95,-328.45
1586,377.29,493.85,-612.50
1587,392.40,492.00,-562.90
1588,382.30,496.55,-845.40
1589,392.86,490.15,-783.35
1590,371.33,494.20,-857.55
1591,359.91,492.10,-868.35
1592,382.83,493.80,-551.25
1593,371.59,494.50,-860.30
1594,368.01,491.30,-838.00
1595,380.05,491.45,-803.65
1596,368.90,491.05,-570.20
1597,370.71,490.40,-899.40
1598,376.04,493.95,-586.00
1599,365.13,492.60,-828.50
1600,376.64,497.65,-550.30
1601,374.33,494.40,-563.35
1602,358.58,493.85,-793.75
1603,374.00,494.20,-587.10
1604,356.41,496.75,-828.00
1605,373.93,493.10,-500.64
1606,365.31,493.15,-528.60
1607,354.72,493.70,-511.49
1608,343.29,498.80,-858.55
1609,356.54,491.10,-552.60
1610,371.17,490.55,-571.80
1611,386.25,498.10,-691.40
1612,349.80,493.80,-606.15
1613,387.96,494.80,-601.25
1614,351.58,492.05,-647.92
1615,361.86,493.40,-717.05
1616,365.52,493.10,-564.65
1617,374.41,494.35,-562.50
1618,360.53,495.20,-688.35
1619,372.45,495.05,-803.15
1620,362.61,492.75,-807.85
1621,379.66,493.15,-857.70
1622,366.01,493.20,-503.42
1623,334.28,491.00,-811.20
1624,359.43,492.65,-829.25
1625,391.95,495.35,-654.65
1626,365.24,490.70,-808.20
1627,335.56,495.10,-776.05
1628,359.01,494.30,-800.65
1629,372.03,494.50,-566.55
1630,346.97,494.70,-729.35
1631,391.58,493.75,-810.10
1632,366.64,493.35,-842.10
1633,391.54,492.45,-834.95
1634,376.16,492.60,-749.60
1635,366.39,493.05,-456.15
1636,365.61,492.35,-631.50
1637,349.88,491.85,-782.10
1638,375.73,490.75,-643.10
1639,361.50,498.10,-604.50
1640,371.45,490.95,-664.65
1641,369.06,493.95,-798.80
1642,340.24,494.00,-711.40
1643,358.60,492.25,-602.80
1644,360.43,492.30,-802.05
1645,369.39,489.40,-773.60
1646,384.92,490.75,-637.95
1647,332.63,494.50,-809.05
1648,348.28,495.75,-747.40
1649,369.13,492.45,-401.80
1650,363.61,490.85,-754.80
1651,382.42,494.45,-488.05
1652,386.16,494.70,-814.70
1653,362.51,492.50,-725.75
1654,385.44,493.20,-570.45
1655,414.14,493.55,-274.28
1656,356.09,498.65,-806.65
1657,357.28,493.40,-781.90
1658,378.89,494.60,-581.56
1659,398.87,491.95,-508.75
1660,362.02,493.05,-463.85
1661,367.12,498.75,-741.20
1662,360.27,496.05,-775.05
1663,359.87,493.90,-607.15
1664,341.09,496.00,-751.15
1665,348.58,493.00,-798.60
1666,355.27,492.90,-740.60
1667,370.56,494.10,-627.60
1668,369.25,493.05,-823.65
1669,366.76,496.90,-550.65
1670,372.18,497.60,-502.55
1671,381.94,492.50,-765.45
1672,384.70,493.00,-708.90
1673,355.36,490.80,-568.05
1674,362.29,491.80,-514.35
1675,387.45,493.30,-441.05
1676,371.21,496.85,-645.25
1677,370.60,492.45,-752.35
1678,359.88,491.15,-813.50
1679,369.49,494.15,-722.80
1680,370.45,493.65,-804.55
1681,373.34,492.50,-655.60
1682,361.97,497.75,-552.40
1683,349.63,495.80,-809.75
1684,394.72,493.15,-438.60
1685,374.44,500.60,-821.75
1686,370.75,491.50,-733.85
1687,369.96,493.90,-802.60
1688,373.76,494.85,-560.69
1689,362.43,490.30,-572.55
1690,383.44,493.55,-790.65
1691,369.24,492.80,-732.05
1692,364.73,491.65,-924.05
1693,371.85,496.40,-780.75
1694,359.02,491.70,-761.15
1695,325.37,492.15,-736.50
1696,366.92,492.70,-831.45
1697,375.13,491.85,-589.30
1698,323.73,492.70,-802.00
1699,340.86,491.90,-776.08
1700,365.95,490.75,-762.70
1701,376.11,490.90,-615.00
1702,378.24,497.55,-736.35
1703,365.91,490.65,-785.70
1704,360.14,493.75,-797.80
1705,390.39,491.70,-834.15
1706,349.85,491.70,-707.45
1707,383.33,495.60,-814.40
1708,367.62,491.30,-802.95
1709,369.76,493.20,-773.90
1710,375.84,496.05,-681.60
1711,359.09,492.20,-869.35
1712,348.98,493.20,-897.70
1713,388.35,493.00,-814.05
1714,349.10,491.20,-594.90
1715,350.89,490.85,-596.75
1716,361.80,490.90,-775.20
1717,377.74,495.00,-500.55
1718,349.01,493.50,-754.55
1719,383.39,495.15,-401.80
1720,376.46,491.10,-812.75
1721,377.51,495.65,-518.95
1722,353.69,495.25,-849.50
1723,375.04,494.10,-475.70
1724,366.53,492.90,-775.35
1725,364.58,495.00,-742.45
1726,356.41,493.60,-569.85
1727,359.21,491.25,-782.05
1728,369.77,496.35,-527.70
1729,375.63,497.00,-752.50
1730,363.75,491.15,-593.60
1731,371.29,491.50,-632.80
1732,347.32,492.30,-751.10
1733,336.08,493.10,-823.75
1734,361.83,494.05,-799.10
1735,360.77,492.05,-514.65
1736,367.67,490.25,-642.60
1737,380.26,492.50,-300.55
1738,351.57,496.10,-567.85
1739,358.21,493.20,-742.90
1740,382.80,494.50,-453.65
1741,362.57,492.00,-788.55
1742,375.85,493.80,-790.54
1743,376.50,495.55,-429.12
1744,374.81,492.00,-774.70
1745,391.62,492.70,-628.40
1746,366.63,495.55,-797.70
1747,384.99,496.45,-809.50
1748,342.74,495.80,-622.45
1749,390.88,492.10,-717.00
1750,390.50,493.90,-363.55
1751,380.44,497.10,-815.15
1752,362.66,496.95,-828.50
1753,380.35,493.80,-709.85
1754,377.61,493.15,-537.35
1755,341.41,493.35,-829.25
1756,337.88,498.60,-739.05
1757,369.23,492.80,-815.30
1758,337.57,494.00,-474.50
1759,366.65,496.30,-432.95
1760,351.92,499.50,-805.30
1761,358.88,497.30,-666.75
1762,357.12,493.50,-798.75
1763,362.49,496.40,-467.00
1764,379.09,492.50,-445.30
1765,390.39,495.70,-618.50
1766,371.83,498.40,-532.05
1767,366.03,492.30,-528.80
1768,350.80,490.45,-862.45
1769,386.33,491.70,-291.39
1770,366.91,494.75,-745.40
1771,349.38,492.70,-504.80
1772,370.35,493.20,-809.82
1773,362.14,491.60,-818.60
1774,380.96,500.10,-727.15
1775,380.41,494.00,-728.45
1776,365.31,493.70,-635.55
1777,367.19,490.80,-747.15
1778,368.99,493.80,-788.70
1779,385.01,493.90,-550.00
1780,338.37,497.00,-704.25
1781,333.47,490.40,-787.75
1782,381.72,492.40,-497.25
1783,346.85,495.60,-828.85
1784,379.68,493.15,-752.90
1785,375.77,490.10,-768.55
1786,339.16,492.00,-769.15
1787,392.41,497.40,-454.70
1788,386.93,496.55,-470.20
1789,368.47,498.20,-692.60
1790,382.41,491.50,-632.35
1791,364.68,492.80,-757.05
1792,400.90,494.95,-577.75
1793,364.98,492.20,-810.35
1794,355.63,495.60,-920.60
1795,357.54,493.95,-789.55
1796,377.86,494.10,-565.06
1797,379.24,494.70,-626.05
