Generation,Average Fitness,Best Fitness,Worst Fitness
209,320.79,436.55,-752.20
210,321.71,440.20,-625.00
211,332.72,444.15,-783.75
212,330.03,441.05,-572.15
213,328.86,443.75,-830.85
214,338.96,443.05,-649.80
215,315.40,443.35,-697.85
216,334.92,446.55,-820.80
217,334.61,448.30,-791.70
218,338.05,443.80,-668.25
219,356.73,442.70,-636.45
220,335.07,443.45,-786.55
221,341.28,444.10,-723.65
222,353.79,451.55,-769.80
223,309.51,444.80,-733.75
224,346.00,442.35,-783.15
225,345.87,441.60,-653.35
226,329.94,444.30,-849.65
227,359.52,444.10,-588.30
228,331.80,443.25,-665.15
229,347.12,442.85,-625.70
230,342.89,445.10,-793.25
231,317.73,447.70,-790.65
232,352.63,450.15,-225.45
233,347.82,445.55,-599.00
234,335.43,446.40,-803.30
235,356.97,445.95,-684.65
236,333.79,444.00,-544.35
237,370.54,444.90,-285.60
238,354.86,444.45,-450.58
239,341.19,447.95,-809.85
240,355.47,444.65,-655.65
241,355.58,454.25,-679.20
242,356.18,446.40,-620.20
243,320.90,447.85,-782.90
244,323.54,449.45,-779.45
245,342.28,446.80,-580.20
246,328.32,449.10,-692.80
247,320.80,451.95,-646.95
248,337.58,450.65,-485.75
249,347.95,447.60,-551.10
250,328.61,447.40,-648.35
251,333.79,450.30,-637.95
252,323.48,448.90,-635.55
253,352.14,450.50,-806.55
254,334.52,448.80,-668.80
255,351.91,449.60,-739.15
256,336.44,446.05,-794.50
257,347.25,446.50,-337.50
258,353.18,447.20,-521.40
259,350.04,448.20,-813.30
260,349.49,445.60,-523.10
261,339.42,450.20,-704.70
262,336.99,447.70,-643.40
263,340.12,448.85,-500.95
264,354.76,446.10,-352.00
265,346.34,448.85,-697.61
266,329.32,446.60,-720.25
267,362.04,446.80,-48.81
268,348.45,449.10,-606.05
269,358.44,449.10,-784.30
270,348.96,449.50,-806.10
271,326.88,452.90,-750.55
272,347.93,446.95,-761.70
273,330.97,444.00,-775.10
274,338.48,450.90,-601.45
275,336.00,449.25,-756.60
276,335.07,444.55,-776.65
277,334.85,452.30,-852.75
278,347.81,447.00,-681.70
279,335.38,444.60,-431.45
280,332.21,446.80,-706.50
281,352.39,450.85,-783.30
282,347.63,447.90,-443.25
283,358.87,451.00,-424.60
284,345.81,446.95,-620.70
285,349.41,449.00,-613.11
286,332.87,454.30,-566.35
287,357.47,446.85,-478.85
288,352.64,450.00,-771.70
289,339.30,447.65,-582.10
290,353.58,449.25,-546.95
291,354.90,448.80,-737.90
292,348.35,450.80,-804.55
293,315.96,451.55,-765.70
294,344.59,447.65,-832.85
295,323.02,447.70,-573.35
296,313.62,449.20,-740.68
297,338.35,445.25,-767.25
298,334.32,446.15,-771.70
299,321.87,446.80,-770.90
300,351.87,451.90,-499.65
301,319.85,449.55,-575.90
302,343.83,456.60,-700.37
303,336.19,446.10,-790.25
304,342.40,447.55,-683.30
305,312.98,452.75,-816.20
306,344.41,450.15,-732.40
307,349.42,446.65,-672.52
308,333.80,448.00,-760.30
309,340.00,449.65,-803.60
310,331.15,451.75,-550.90
311,345.10,447.35,-710.05
312,341.07,452.95,-733.20
313,348.48,444.70,-814.45
314,336.17,448.10,-592.85
315,349.38,456.20,-637.95
316,351.85,447.95,-525.10
317,357.93,456.60,-778.54
318,346.73,447.20,-592.00
319,360.34,449.00,-442.35
320,328.91,448.65,-588.90
321,336.37,453.25,-616.35
322,335.42,451.25,-782.70
323,344.75,448.55,-226.35
324,315.03,450.70,-774.40
325,337.66,451.20,-709.30
326,325.97,448.45,-447.35
327,336.33,452.60,-770.50
328,328.11,452.70,-430.40
329,334.33,450.05,-744.75
330,352.80,451.70,-469.35
331,322.80,445.85,-716.45
332,348.41,449.25,-723.15
333,337.11,451.10,-611.12
334,333.87,450.60,-621.05
335,332.38,447.75,-769.06
336,344.37,446.90,-731.40
337,314.95,446.80,-601.10
338,348.62,449.25,-523.08
339,355.48,449.00,-560.30
340,330.97,448.10,-524.45
341,348.53,454.05,-774.95
342,343.54,450.05,-334.40
343,351.93,447.45,-346.60
344,337.33,447.05,-704.35
345,340.52,449.65,-723.65
346,326.08,460.70,-464.75
347,351.74,450.20,-772.75
348,349.41,452.05,-500.45
349,347.59,448.65,-495.25
350,330.54,447.85,-563.80
351,348.48,449.00,-392.10
352,335.58,448.60,-772.25
353,336.58,451.40,-504.25
354,356.50,449.70,-676.65
355,343.39,451.10,-366.95
356,346.70,450.85,-615.70
357,332.10,451.80,-800.60
358,342.82,454.75,-494.50
359,347.09,453.40,-629.60
360,344.17,455.10,-796.05
361,320.88,454.10,-762.55
362,365.98,451.85,-796.55
363,352.61,449.55,-585.15
364,352.52,449.40,-829.85
365,358.19,451.45,-699.35
366,344.74,452.50,-540.75
367,346.07,452.90,-346.35
368,339.83,451.10,-729.35
369,331.56,449.80,-469.70
370,333.44,450.05,-740.15
371,351.09,452.50,-586.00
372,348.53,450.60,-786.75
373,335.23,450.60,-639.65
374,336.28,451.80,-765.80
375,342.86,450.20,-615.05
376,324.15,455.25,-559.00
377,355.31,453.80,-434.70
378,303.19,449.90,-762.20
379,341.17,453.25,-468.85
380,343.29,452.35,-746.10
381,356.58,450.00,-717.07
382,349.49,451.60,-719.30
383,345.32,450.30,-435.30
384,322.10,463.10,-552.70
385,338.08,450.20,-753.65
386,325.64,454.55,-777.55
387,365.86,454.70,-493.75
388,348.18,457.60,-726.30
389,319.61,453.00,-743.90
390,333.34,453.30,-667.60
391,353.30,451.75,-228.30
392,326.49,455.95,-740.55
393,331.79,452.45,-460.95
394,345.69,457.95,-754.15
